VTR⑤夏焼雅・鈴木愛理・宮本佳林・小片リサ・Bitter ＆ Sweet「超WONDERFUL!」M-line Special(Zepp Tokyo),TGM_3FKpkjk,1745,332
VTR⑤鈴木愛理・宮本佳林・小片リサ・加賀楓・川村文乃「Va-Va-Voom」 M-line Special 2021〜Make a Wish!〜【11/20 中野サンプラザ】 ,KcTqi-UCkXs,1514,220
VTR①宮本佳林・小片リサ・Bitter & Sweet「This is 運命」 M-line Special 2021〜Make a Wish!〜【12/11 Zepp Tokyo】 ,KcTqi-UCkXs,131,233
VTR④ミニコーナー Play Back M-line Music 宮本佳林「TOKYOグライダー」 M-line Special 2021〜Make a Wish!〜【12/4 広島国際会議場フェニックスホール】 ,KcTqi-UCkXs,1443,71
VTR③ミニコーナー Play Back M-line Music 長谷川萌美「悲しきヘブン」 M-line Special 2021〜Make a Wish!〜【12/18 仙台GIGS（宮城）】 ,dCBeCwWNFeo,769,75
VTR①夏焼雅・鈴木愛理・宮本佳林「泣き虫少年」 M-line Special 2021〜Make a Wish!〜【12/11 Zepp Tokyo】 ,dCBeCwWNFeo,40,248
VTR① 夏焼雅・鈴木愛理・小片リサ「ロッタラ ロッタラ」M-line Special 2021〜Make a Wish!〜（Zepp Tokyo） ,mGA_w3pajw8,144,234
VTR①夏焼雅・鈴木愛理「ホントのじぶん」 M-line Special 2021〜Make a Wish!〜（Zepp Tokyo） ,UiyIyCzFlq8,87,248
VTR⑤夏焼雅・鈴木愛理・宮本佳林・小片リサ・Bitter ＆ Sweet「ハッピークラッカー」M-line Special 2021〜Make a Wish!〜（Zepp Tokyo） ,tvglrBFOXT4,1605,215
VTR①夏焼雅「愛のバカやろう」M-line Special 2021〜Make a Wish!〜（Zepp Tokyo） ,tvglrBFOXT4,212,285
VTR④鈴木愛理・宮本佳林・小片リサ・川村文乃「キャンパスライフ～生まれて来てよかった～」 M-line Special 2021 〜Make a Wish!〜（11/20 中野サンプラザ） ,eKVQvIM6W4E,985,222
VTR④高橋愛・田中れいな・夏焼雅「M-line Special 2022 ～My Wish～」ツアー日記 ,oQMhhQB2SRM,1178,88
VTR②Bitter & Sweet「メロディーズ」 M-line Special 2021 〜Make a Wish!〜（12/11 Zepp Tokyo） ,oQMhhQB2SRM,550,266
VTR⑤夏焼雅・鈴木愛理・宮本佳林・小片リサ「胸さわぎスカーレット」 M-line Special 2021～Make a Wish!～ 12/11 Zepp Tokyo ,JQdgkF_tFuY,1253,177
VTR②田中れいな・夏焼雅・宮本佳林・小片リサ「ひとりで生きられそう」って それってねえ、褒めているの？ M-line Special 2022 ～My Wish～ 2/23めぐろパーシモンホール ,JQdgkF_tFuY,391,214
VTR⑤夏焼雅・小片リサ「愛には 愛でしょ」 M-line Special 2022～My Wish!～ 2/23 めぐろパーシモンホール ,0rYG-IoI9wE,1111,275
VTR⑤ 田中れいな・夏焼雅・宮本佳林・小片リサ「春恋歌」 M-line Special 2022～My Wish!～ 2/23 めぐろパーシモンホール,WlIBruzMF3c,1289,465
VTR② 高橋愛・田中れいな・夏焼雅「愛のドンデン返し」 M-line Special 2022～My Wish!～ 2/23 めぐろパーシモンホール ,WlIBruzMF3c,324,368
VTR⑤ 田中れいな・夏焼雅・宮本佳林・小片リサ「踊れ！モーニングカレー」 M-line Special 2022～My Wish!～ 2/23 めぐろパーシモンホール ,HQaLQ2w356o,1418,235
